Extract No.	Need to be Checked(Y/N)	Old Extraction No.	Mapped Reads	Total Reads	% Mapped	% Mapped-Q30	MT_reads	Duplicates	ReadLen (Mapped)	SD ReadLen (Mapped)	ReadLen (All)	SD ReadLen (All)	Museum Code	Age	Period	Neolithic (Y/N/W)	Group	Country	Location	Site Code/Name	Wild/Dom Status	GMM Status	Desired Cov / Current Cov	Seq. strategy (N*S=lane * Shotgun; N*W=lane*WG Wapture; M=mt Capture). UDG for >55bp	Sequencing Status	Source Person	Other Details	Other Details2	Old Haplogroup	Consensus	Internal	External	Lat	Long	mtDNA_cov	mtDNA_bp	DNA	GMM ID (AE)	mtDNA source
GL528	N	GL528	1338	31771	4.211387744	0.41547323	0	0.0874	19.87141687	4.817047294	45.63183168	15.93923809	22780	6th-7th cent AD	Roman	W	EUW-A	England	Shropshire	Wroxeter	Wild					Andy Hammon			ANC-Cside	Eu	1	45	52.67	-2.65	0	0	0	no	PCR
GL804	N	GL804	571	36558	1.561901636	0.355599322	0	0.0298	30.69133574	19.27361839	51.77449988	14.8724295	12830	6th-7th cent AD	Roman	W	EUW-A	England	Shropshire	Wroxeter	Wild					Andy Hammon			ANC-Aside	Eu	11	45	52.67	-2.65	0	0	0	no	PCR
AA134	Y	LG497	3901	153971	2.533593988	0.849510622	6	0.2528	33.54063061	18.00732622	58.95756344	17.07341325	POZ-ZEG-01	5th Millennium BC?	Neolithic	Y	EUD-A	Poland		Zegotki 2		Small Domestic		M		Arkadiusz Marciniak	POZ-ZEG-01		ANC-Y1-6A	Y1	10	29	_	_	0.01968338	327	0	POZ-ZEG-01	PCR
AA135	N	LG498	520	68308	0.761257832	0.127364291	0	0.05	21.56923077	7.960101336	48.11530128	14.40445447	POZ-ZEG-02	?	Neolithic	Y		Poland		Zegotki 2		Small Domestic				Arkadiusz Marciniak	POZ-ZEG-02			-	11	29	_	_	0.027147415	421	0	POZ-ZEG-02	NA
AA200	N	GL435	1129	11844	9.532252617	0.793650794	0	0.2914	21.16829052	8.921248482	60.53529213	20.43193185	6859	1o (18th century BC cal)	Bronze Age	N		Switzerland	Zürich-Mozartstrasse	ZM				M		Jörg Schibler	MZ		DNW	-	4	34	47.37	8.55	0.029013423	482	0	yes	NA
AA201	N	GL466	118	221241	0.053335503	0.004519958	0	0.2119	22.73728814	14.27652904	74.27542815	3.158865773	1473	1o (18th century BC cal)	Bronze Age	N		Switzerland	Zürich-Mozartstrasse	ZM						Jörg Schibler			DNW	-	5	34	47.37	8.55	0	0	0	yes	NA
AA202	Y		805	6723	11.97382121	1.755168823	1	0.4708	22.22857143	12.63464512	54.61430909	20.87541466	MZ 3056		Late Neolithic	Y	?	Switzerland	Zürich-Mozartstrasse	ZM				M		Jörg Schibler	D000194 3056 Phase 10			Eu	6	34	47.37	8.55	0.173237826	2663	1	no	NGS
AA240	Y	GL5	703	323578	0.217258281	0.048210941	1	0.1522	28.23154362	15.75975339	63.86207419	11.69884013	5431	3u (3126-3098 BC cal)	Late Neolithic	Y	?	Switzerland	Zürich-Mozartstrasse	ZM						Jörg Schibler	MZ5431		DNW	Eu	3	37	47.37	8.55	2.486366099	14636	1	no	NGS
AA244	N	GL1	1332	150405	0.885608856	0.057843822	0	0.4294	20.61973684	8.781876171	64.63193689	13.0763753	MZ8036	4o (3613-3600 BC cal)	Late Neolithic	Y		Switzerland	Zürich-Mozartstrasse	ZM				M		Jörg Schibler			DNW	-	7	37	47.37	8.55	0.020345513	338	0	no	NA
AA246	N	GL362	574	537354	0.106819713	0.01712093	0	0.0749	22.03389831	8.623070178	65.23739324	11.50987477	MZ 5876 	4u (3668.3661 BC cal)	Late Neolithic	Y		Switzerland	Zürich-Mozartstrasse	ZM						Richard Redding	1		DNW	-	9	37	47.37	8.55	0.039306567	653	0	yes	NA
AA247	N	GL870	579	58413	0.991217708	0.087309332	0	0.2694	21.74704492	10.58165427	58.42489315	15.95487213	MZ 1931	3a (3126-3098 BC cal)	Late Neolithic	Y		Switzerland	Zürich-Mozartstrasse	ZM				M		Jörg Schibler	1931		DNW	-	10	37	47.37	8.55	0.002407753	40	0	no	NA
AA248	Y		931	11367	8.190375649	5.322424562	8	0.0021	63.00322928	15.96848291	65.51948966	13.04843323	MZ 5866		Late Neolithic	Y	?	Switzerland	Zürich-Mozartstrasse	ZM				M		Jörg Schibler	MZ 5866 Phase 4m 3 D000287			Eu	11	37	47.37	8.55	0.479564197	6185	1	no	NGS
AA249	N		400	72604	0.550933833	0.11431877	3	0.2075	26.67823344	13.43658097	54.87253347	13.46742188	MZ 5296 		Late Neolithic	Y		Switzerland	Zürich-Mozartstrasse	ZM						Jörg Schibler	MZ 5296 D000230 Phase 4m 4			-	12	37	47.37	8.55	0.027869741	463	0	no	NA
AA250	Y		542	114032	0.475305177	0.061386278	1	0.0535	22.64522417	10.09538791	59.82818873	14.27867198	MZ 3838 		Late Neolithic	Y	?	Switzerland	Zürich-Mozartstrasse	ZM						Jörg Schibler	MZ 3838 D000202 25			Eu	13	37	47.37	8.55	0.050081262	832	1	no	NGS
AA251	N		4264	133299	3.198823697	0.371345621	0	0.5732	24.2510989	10.92128485	56.26443009	16.84953498	SW172 		Late Neolithic	Y		Switzerland	Zürich-Mozartstrasse	ZM	Wild			M		Jörg Schibler	MZ 7548 D000301 Phase 30 11 SW172			-	38		47.37	8.55	0.014807681	246	0	no	NA
AA252	N		519	186842	0.277774804	0.044957772	0	0.3834	21.915625	9.218817112	68.29399442	11.3444451	MZ 6592 		Late Neolithic	Y		Switzerland	Zürich-Mozartstrasse	ZM						Jörg Schibler	MZ 6592 D000291 Phase 30 9			-	2	38	47.37	8.55	0.026966833	448	0	no	NA
AA253	Y		5451	513282	1.061989316	0.575317272	5	0.0158	43.93308481	16.05978401	58.82308709	14.10448412	MZ 8114 		Late Neolithic	Y	?	Switzerland	Zürich-Mozartstrasse	ZM				M		Jörg Schibler	MZ 8114 D000308 Phase 2u 20			Eu	3	38	47.37	8.55	0.161921387	2592	3	no	NGS
AA254	N		2104	326870	0.643680974	0.22088292	2	0.0528	31.30356247	14.42424722	52.63511334	13.26491733	MZ 6481 		Late Neolithic	Y	EUD-A	Switzerland	Zürich-Mozartstrasse	ZM		Domestic (98.21%)				Jörg Schibler	MZ 6481 D000290 Phase 2u 21			Eu	4	38	47.37	8.55	1.526695961	12005	1	ZUR-MOZ-6481?	NGS
AA019	N	GL149	5094	179399	2.839480711	0.383502695	0	0.0485	19.76482136	3.091390729	40.31749898	15.13028857	1	5th - 6th century AD	Sasanian culture	N	NED-A	Qatar	Kush, UAE		Domestic			M		Derek Kennet	A-1900		DNW	ArmT	6	21	25.28	51.56	0.052067658	865	1	no	NGS
AA030	Y	GL1113?	161	52426	0.307099531	0.068668218	0	0.0248	27.13043478	14.22415658	59.04919315	16.05051523	340	0-650AD	Hellenistic, Roman and early Byzantine	N	?	Turkey	Sagalassos							François X Ricaut			Euro-E	Eu	4	22	37.68	30.52	0.013603804	226	0	?	PCR
AA031	N	GL1114	394	9564	4.119615224	1.892513593	1	0.0635	37.31979695	17.43396889	49.69594312	18.99399125	613	0-650AD	Hellenistic, Roman and early Byzantine	N	NED-A	Turkey	Sagalassos			Small Domestic		M		François X Ricaut			A	Eu	5	22	37.68	30.52	0.013904773	231	0	SAG-613	PCR
AA032	N	GL1115	83	2172	3.821362799	2.025782689	1	0.0241	41.09638554	19.84305153	58.63305709	26.44194902	1203	0-650AD	Hellenistic, Roman and early Byzantine	N	NED-A	Turkey	Sagalassos			Small Domestic		M		François X Ricaut			A	Eu	6	22	37.68	30.52	0.003250467	54	0	SAG-1203	PCR
AA033	N	GL1116	1593	31517	5.054415078	0.713900435	2	0.3955	23.84682988	11.52228087	49.93032332	21.5206175	1230	0-650AD	Hellenistic, Roman and early Byzantine	N	NED-A	Turkey	Sagalassos			Small Domestic		M		François X Ricaut			A	Eu	7	22	37.68	30.52	0.098236321	1422	0	SAG-1230	PCR
AA034	N	GL1118	2336	64969	3.59556096	1.032800259	5	0.2389	30.9807363	16.23383905	62.58768028	19.95625325	296	0-650AD	Hellenistic, Roman and early Byzantine	N	NED-A	Turkey	Sagalassos			Small Domestic		M		François X Ricaut			A	Eu	8	22	37.68	30.52	0.125684705	1832	1	SAG-296	BOTH
AA035	Y	GL1119	2441	142635	1.711361167	0.64570407	2	0.0193	35.27775502	15.29705428	49.36863322	15.78188794	791	0-650AD	Hellenistic, Roman and early Byzantine	N	?	Turkey	Sagalassos					M		François X Ricaut			A	Eu	9	22	37.68	30.52	0.017696984	294	0	no	PCR
AA036	N	GL1120	969	124500	0.778313253	0.398393574	1	0.0052	44.0371517	19.01387767	54.80902811	16.21755617	133	0-650AD	Hellenistic, Roman and early Byzantine	N	NED-A	Turkey	Sagalassos			Small Domestic				François X Ricaut			A	Eu	10	22	37.68	30.52	0.009570818	159	0	SAG-133	PCR
AA037	N	GL1121	2201	188607	1.166976835	0.225866484	2	0.0282	22.00408905	7.414879488	43.05497675	13.26864814	941	0-650AD	Hellenistic, Roman and early Byzantine	N	NED-A	Turkey	Sagalassos			Small Domestic		M		François X Ricaut			A	Eu	11	22	37.68	30.52	0.041292963	686	0	SAG-941	PCR
AA038	N	GL1122	2240	76407	2.931668564	1.468451843	3	0.0353	43.82678571	15.97221226	49.45642415	14.98826189	1227	0-650AD	Hellenistic, Roman and early Byzantine	N	NED-A	Turkey	Sagalassos			Small Domestic		M		François X Ricaut			A	Eu	12	22	37.68	30.52	0.046228857	729	0	SAG-1227	PCR
AA039	N	GL1138	7837	2357070	0.332489065	0.042637682	0	0.06	20.01620518	4.0200325	49.02323011	13.65936066	Israel anc1	?				Israel	Derekh Namir							?	SQ 27	L254 B 2391	DNW	-	13	22	_	_	0	0	0	no	NA
AA041	N	GL1140	1131	94324	1.199058564	0.16008651	0	0.0345	19.68788683	3.07787193	65.84699546	27.14276053	Israel anc3	?				Israel	Tel Bet Shean					M		?			DNW	-	2	23	32.50	35.50	0	0	0	no	NA
AA042	Y	GL1141	22	5248	0.419207317	0.038109756	0	0	19.54545455	2.283007055	64.27324695	22.54129118	Israel anc4	?	Neolithic	Y	?	Israel	Abu Ghosh							?	AG 40	0.64	DNW	Eu	3	23	31.80	35.11	0.138325408	2141	1	no	NGS
AA043	Y	GL1142	5191	274291	1.892515613	0.286921554	1	0.0106	20.17241379	3.155528215	42.10496516	15.22173623	Israel anc5	?		?	?	Israel	Tel Bet Shean					M		?	L68139	B681146B	DNW	Eu	4	23	32.50	35.50	0.2436646	3458	1	no	NGS
AA044	N	GL1143	9	19510	0.04613019	0	0	0.3333	16.77777778	1.092906421	92.35325474	9.482956453	Israel anc6	?				Israel	Derekh Namir							?	4372	L204 Sq.97	DNW	-	5	23	_	_	0.041955095	696	0	no	NA
AA045	Y	GL1144	109	8253	1.320731855	0.12116806	0	0.211	18.46788991	3.738114021	55.23349085	21.86448886	Israel anc7	?		?	?	Israel	Tel Safi/Gat					M		?			DNW	Eu	6	23	31.70	34.85	0.179738759	2483	1	no	NGS
AA057	N	GL291	402	89496	0.449182086	0.069276839	0	0.291	20.10447761	5.904394564	84.24897202	20.30210251	KMD7	10,200-7,600 BC (cal)	Karim Shahir culture			Iran	Zagros region							Field Museum of Natural History, Division of Mammals			DNW	-	2	24	32.65	49.71	0.01432613	238	0	?	NA
AA058	N	GL302	203	7230	2.807745505	0.318118949	0	0.0493	21.55665025	9.855917085	54.35283541	24.36481762	KMD8	6,900-5,800 BC (cal)				Iraq	Tell Matarrah		domestic?			M		Field Museum of Natural History, Division of Mammals			DNW	-	3	24	_	_	0.035092999	583	0	no	NA
AA059	N	GL315	1517	36372	4.170790718	0.357417794	0	0.2011	18.9683586	3.540612585	45.91053558	21.36152699	KMD11:PM11827	14,000-12,000 BC (cal)	Zarzian culture	W	NEW-A	Iraq	Palegawra		Wild			M		Field Museum of Natural History, Division of Mammals			DNW	Y1	4	24	35.87	44.45	0.057184133	949	1	no	NGS
AA060	N	GL477	531	37703	1.408375991	0.100787736	0	0.2147	19.26553672	5.677422901	71.43208763	25.17667341	KMD4	7,600-6,900 BP (cal)	PPNB	Y		Iraq	Jarmo (Qala'at)					M		Field Museum of Natural History, Division of Mammals			DNW	-	5	24	_	_	0.003732017	62	0	no (Max Price may have it?)	NA
AA061	N	GL480	1187	282234	0.420573	0.040392015	0	0.2089	19.65543387	5.338307932	53.59607276	17.18129556	KMD6	7,600-6,900 BP (cal)	PPNB	Y		Iraq	Jarmo (Qala'at)							Field Museum of Natural History, Division of Mammals			DNW	-	6	24	_	_	0	0	0	no (Max Price may have it?)	NA
AA062	Y	GL481	4414	74231	5.946302758	0.164351821	0	0.5684	19.10398731	6.583103123	57.27212351	25.48606535	KMD10	6,900-5,800 BC (cal)		?	?	Iraq	Tell Matarrah		domestic?			M		Field Museum of Natural History, Division of Mammals			DNW	It	7	24	_	_	0.059471498	988	1	no	NGS
AA063	N		4370	133742	3.267485158	0.154775613	0	0.3076	19.0187643	4.017427739	63.47000942	22.48361743			early Neolithic	Y		Turkey	Hallan Çemi					M		Richard Redding	6F4 217			-	8	24	38.16	41.13	0.029795943	495	0	no (Max Price may have it?)	NA
AA066	N	GL382	1244	110073	1.130159076	0.047241376	0	0.4839	17.98874598	4.058288346	77.04613302	19.4781591	6F7 1201		early Neolithic	N		Turkey	Hallan Çemi					M		Richard Redding	6F7 1201		DNW	-	11	24	38.16	41.13	0	0	0	no (Max Price may have it?)	NA
AA074	N	GL1023	1730	38528	4.490240864	1.528758306	0	0.2387	34.81560694	20.28735412	54.57192172	22.82649883	10	29th/28th century BC	Neolithic	W	EUW-A	Switzerland	Cazis-Petrushügel		Wild			M		Jörg Schibler			ANC-Cside	Eu	6	25	46.73	9.42	0.002287365	38	0	no	PCR
AA075	N	GL1024	4497	589681	0.762615719	0.248778577	8	0.1448	35.01378697	19.70959731	52.6953251	16.44304801	11	27th - 25th century BC	Neolithic	W	EUW-A	Switzerland	Untervaz-Haselbodensenke		Wild					Jörg Schibler			ANC-Cside	Eu	7	25	46.92	9.52	0.234816108	3376	1	no	BOTH
AA076	N	GL1025	2353	128705	1.828211802	0.101783148	0	0.4416	20.30599235	5.910100512	53.26789169	20.65681763	12	27th - 25th century BC	Neolithic	Y	EUD-A	Switzerland	Untervaz-Haselbodensenke		Domestic			M		Jörg Schibler			ANC-Aside	Eu	8	25	46.92	9.52	0	0	0	no	PCR
AA077	N	GL1026	4100	353584	1.159554731	0.537920268	0	0.0432	42.77853659	19.38325039	53.16900934	16.85554099	14	27th - 25th century BC	Neolithic	W	EUW-A	Switzerland	Untervaz-Haselbodensenke		Wild			M		Jörg Schibler			ANC-Cside	Eu	9	25	46.92	9.52	0.043700716	661	2	no	PCR
AA085	N	LG350	785	134019	0.585737843	0.188779203	1	0.0739	27.73375796	12.73390117	79.83292667	24.20015887	PIN 23259 Bag18	III-I century BC				Turkey	Gordion		Domestic	Small Domestic				Melinda Zeder	PIN 23259 Bag18		LDomGermanyAngler	-	2	26	39.87	32.69	0.045988082	751	0	WAS-GOR-23259	NA
AA087	N	LG352	1140	45745	2.492075637	0.905016942	2	0.0009	32.11491228	15.60666509	44.3426604	15.49716334	PIN 30618 Bag 220	1,650-1,200 BC		N	NED-A	Turkey	Gordion		?	Small Domestic		M		Melinda Zeder	PIN 30618 Bag 220		ANC-Arm-1T	ArmT	4	26	39.87	32.69	0.04863661	808	0	WAS-GOR-30618	PCR
AA088	N	LG353	1419	34060	4.166177334	2.32530828	7	0.0113	41.24524313	17.03734915	53.80634175	24.36311129	PIN 29550 Bag 16	550-330 BC		N	NED-A	Turkey	Gordion		Domestic	Small Domestic		M		Melinda Zeder	PIN 29550 Bag 16		ANC-Aside	Eu	5	26	39.87	32.69	0.242641305	3497	1	WAS-GOR-29550	BOTH
AA089	N	LG354	3304	131208	2.518139138	1.222486434	24	0.076	38.6598063	17.34569201	47.96525364	16.83999022	PIN 29961 Bag 22	1,650-1,200 BC		N	NED-A	Turkey	Gordion		Domestic	Small Domestic		M		Melinda Zeder			Yellow star	-	6	26	39.87	32.69	1.055980256	9759	1	WAS-GOR-29961	BOTH
AA090	N	LG355	1487	50180	2.963332005	0.819051415	1	0.1204	29.16745124	14.83038478	46.10900757	18.58823992	PIN 28944 Bag 16		Late Phrygian	N	NED-A	Turkey	Gordion		Domestic	Small Domestic		M		Melinda Zeder	PIN 28944 Bag 16		DNW	Eu	7	26	39.87	32.69	17.7748751	16128	1	WAS-GOR-28944	NGS
AA091	N	LG356	982786	7332266	13.4035781	8.040761205	916	0.0236	45.74981023	14.61859634	46.74662826	15.06876107	PIN 25020 Bag 35		Hellenistic	N	NED-A	Turkey	Gordion		Domestic	Small Domestic		M | W		Melinda Zeder	PIN 25020 Bag 35		ANC-Y1-6A	Y1	8	26	39.87	32.69	3.060976344	14297	3	WAS-GOR-25020	BOTH
AA093	N	GL494	630	117906	0.534323953	0.03901413	0	0.2889	19.03015873	8.241045339	62.16670907	19.16464681	A184.3		Middle Bronze Age	N	NED-A	Syria	Tell Brak		Domestic					Roger Matthews	HN A184.3	c 1700 BC	DNW	ArmT	9	26	36.68	41.05	0.134713778	2024	1	no	NGS
AA094	N		480	72902	0.65841815	0.037036021	0	0.4479	18.1875	6.326061184	60.40137445	19.34394423		?		N		Syria	Tell Brak		Domestic					Roger Matthews	HN A108:1 >3.5mm 517			-	10	26	36.68	41.05	0.013663998	227	0	no	NA
AA095	Y		458	116701	0.392455934	0.065980583	0	0.1681	21.53056769	7.524441873	48.13143846	14.17346594		?		N	?	Syria	Tell Brak		Domestic					Roger Matthews	TB96 15 H86 A514:5			ArmT	11	26	36.68	41.05	0.808884608	8314	1	no	NGS
AA096	Y		357	17926	1.991520696	0.100412808	0	0.5854	18.17086835	5.01194557	62.02593998	23.04561354		?		N	?	Syria	Tell Brak		Domestic			M		Roger Matthews	TB96 HS1 A4167:5 S52			Eu	12	26	36.68	41.05	0.361343526	5067	1	no	NGS
AA097	Y		724	124424	0.581881309	0.192888832	2	0	45.78729282	15.04337864	51.22173375	13.65078166		?		N	?	Syria	Tell Brak		Domestic					Roger Matthews	45 A119:1 HS3 S62			ArmT	13	26	36.68	41.05	12.04526576	15486	1	no	NGS
AA098	N		1743	359992	0.484177426	0.048889975	0	0.3701	19.16236374	3.6507278	53.84099369	15.76268567		?		N		Syria	Tell Brak		Domestic					Roger Matthews	HN A.264:1 TB96			-	1	27	36.68	41.05	0.001866009	31	0	no	NA
AA111	Y	GL187	46190	367240	12.57760593	2.691427949	220	0.6497	30.64436025	20.99541271	63.80701993	18.43223009	2		Late Bronze/eary Iron	N	?	Armenia	Lchashen		Domestic?			M		Ninna Manaseryan			ANC-Arm1T	ArmT	1	28	40.33	45.27	0.821224342	9038	3	no	BOTH
AA112	Y	GL188	40352	6494665	0.621309952	0.381266778	183	0.1114	50.25815325	19.55973232	68.56448331	10.64723698	38		Late Bronze/eary Iron	N	?	Armenia	Lchashen		Domestic?			M		Ninna Manaseryan			ANC-Arm1T	ArmT	2	28	40.33	45.27	0.63323903	7428	3	no	BOTH
AA113	Y	GL343	3412	239112	1.426946368	0.848556325	1	0.0085	44.50087925	15.78198169	56.14601107	18.28234947	32	5th millennium BC uncal?		W	NEW-A	Armenia	Khatunarth		Wild			M		Ninna Manaseryan			ANC-Arm2T	ArmT	3	28	_	_	0.044423042	680	0	no	PCR
AA114	Y	GL864	12896	2350352	0.548683772	0.303954472	987	0.0338	48.1567928	20.73010329	59.53187905	14.09766062	38	13th cent AD		N	?	Armenia	Lagaekgy		Undet.			M		Ninna Manaseryan			ANC-Aside	Eu	4	28	_	_	3.548847288	15686	3	no	BOTH
AA115	Y	GL876	2405	148438	1.620205069	0.323367332	7	0.2948	27.65530146	17.01828376	62.74260634	15.8830986	28	13th-9th cent. BC	Late Bronze/eary Iron	N	?	Armenia	Lchashen		Undet.			M		Ninna Manaseryan			ANC-Arm1T	ArmT	5	28	40.33	45.27	0.022392103	372	0	no	PCR
AA116	Y	GL891	13547	355607	3.809542557	0.968203663	72	0.5267	31.48150882	22.52485236	61.80462139	16.06017175	10	13th-9th cent. BC	Late Bronze/eary Iron	N	?	Armenia	Lchashen		Undet.			M		Ninna Manaseryan			ANC-Arm1T	ArmT	6	28	40.33	45.27	0.282309035	4247	3	no	BOTH
AA117	Y	GL861	27149	4140035	0.655767403	0.159781258	34	0.2577	27.97977826	15.62256717	56.59105587	15.66276074	27	6th-5th cent BC		N	?	Armenia	Tmbitir		Undet.					Ninna Manaseryan			ANC-Aside	Eu	7	28	_	_	0.100523686	1637	3	no	BOTH
AA118	Y	GL895	5880	692782	0.848751844	0.125147593	32	0.3344	23.80782313	13.12493022	58.03561293	15.77596654	17	7th-5th cent BC		N	NED-A	Armenia	Sevkar		Domestic			M		Ninna Manaseryan			ANC-Aside	Eu	8	28	41.02	45.14	0.089628604	1302	1	no	BOTH
AA119	N	GL896	164899	481630	34.23769283	23.67335922	338	0.0217	64.21965567	13.22587663	64.66771796	12.50055181	10	Late Bronze/eary Iron, 13th-9th cent. BC	Late Bronze/eary Iron	N	NED-A	Armenia	Lchashen		Domestic		5 / 0	2.5S	Sequenced (2 lanes 4000, 1 lane 2500). More??	Ninna Manaseryan			ANC-Arm1T	ArmT	9	28	40.33	45.27	492.2759887	16382	3	no	NGS
AA120	N	LG281	20053	717332	2.795497761	0.871562958	146	0.3352	34.08103526	18.24308525	60.30484211	15.87490463	DNA sample 2, Bag 959	2,600-1,700 BC	Early/Middle Bronze Age	N	NED-A	Syria	Leilan			Small Domestic		M		Melinda Zeder	Bag 959		ANC-Arm-1T	ArmT	10	28	36.94	41.52	0.408896647	5127	3	LEI_01	BOTH
AA121	N	LG283	1188	523529	0.226921527	0.03724722	0	0.085	20.30639731	3.199682927	53.10920121	15.64120711	DNA sample 5, Bag 814		Early/Middle Bronze Age	N		Syria	Leilan			Small Domestic				Melinda Zeder	Bag 814 Tooth Section Sample 5		DNW	-	11	28	36.94	41.52	0.025582375	425	0	LEI_03	NA
AA121	N	LG283	2952	1413477	0.208846695	0.034241802	0	0.1172	20.78760163	5.886761138	55.29026224	13.88339572	DNA sample 5, Bag 814		Early/Middle Bronze Age	N		Syria	Leilan			Small Domestic				Melinda Zeder	Bag 814 Tooth Section Sample 5		DNW	-			36.94	41.52	0.025582375	425	0	LEI_03	NA
AA122	N	LG284	45584	10214766	0.44625594	0.084377851	3	0.0749	21.27511846	6.204160136	50.5749558	14.96582637	DNA sample 7, Bag 405		Early/Middle Bronze Age	W	NED-A	Syria	Leilan			Small Domestic				Melinda Zeder	Bag 405 Tooth Section Sample 4		DNW	As	12	28	36.94	41.52	0.141214711	2103	3	LEI_04	NGS
AA123	N	LG290	7562	1195094	0.632753574	0.11471901	0	0.0489	21.13766199	5.710580118	51.4933294	15.70935487	DNA sample 10, Level K		Neolithic	Y		Iran	Guran Tepe							Melinda Zeder	DNA sample 10, Level K		DNW	-	13	28	33.32	48.64	0	0	0	no	NA
AA124	Y	LG291	7462	311365	2.396544249	0.233488029	0	0.5147	20.04690432	7.348210076	50.94269748	16.55521835	DNA sample 11, Level F		Neolithic	Y	?	Iran	Guran Tepe					M		Melinda Zeder	DNA sample 11, Level F		DNW	Eu	1	29	33.32	48.64	0.05886956	896	1	no	NGS
AA126	Y		5003	897018	0.557736857	0.26086433	18	0.0526	38.29822107	18.05780101	64.31240176	15.16409678			Middle Neolithic	Y	?	Belgium	Trou al Ouess							John Stewart	TAW 2004 H7-33			Eu	2	29	50.83	4.00	0.060073436	998	3	no	NGS
AA128	Y		6953	498796	1.393956648	0.504214148	6	0.2987	37.82022149	21.6209143	60.744186	13.17615168			Middle Neolithic	Y	?	Belgium	Trou al Ouess					M		John Stewart	TAW 2004 G12 piece 56			Eu	4	29	50.83	4.00	0.563354	6718	3	no	NGS
AA129	Y		15757	246528	6.39156607	3.754948728	5	0.0426	48.07507774	16.00533474	53.22172329	15.19060682			Middle Neolithic	Y	?	Belgium	Trou al Ouess					M		John Stewart	TAW 2004 G12 piece 48			Eu	5	29	50.83	4.00	0.779810991	8116	3	no	NGS
AA130	N		3354	424037	0.790968713	0.087964022	0	0.4299	19.01729278	4.591093344	50.39278412	13.87640447			mixed layer containing material from the Iron Age to the 19th century	N		Belgium	Trou al Ouess							John Stewart	TAW 2004 I9-191			-	6	29	50.83	4.00	0	0	0	no	NA
AA131	Y		2280	310295	0.73478464	0.092170354	6	0.3018	23.02412281	12.26634492	53.07431638	14.1979112			Middle Neolithic	Y	?	Belgium	Trou al Ouess							John Stewart	TAW 03 I9 29			Eu	7	29	50.83	4.00	0.153614639	2425	1	no	NGS
AA132	N		1010	70269	1.437333675	0.196388165	0	0.2149	23.46633663	13.13780568	53.97172295	15.36112182			Middle Neolithic	Y		Belgium	Trou al Ouess					M		John Stewart	TAW 2004 08-17 4a sommet			-	8	29	50.83	4.00	0	0	0	no	NA
AA133	N		774556	2431159	31.85953695	21.98576893	326	0.0195	55.1742069	13.97542326	57.5670859	14.07696764				W	NEW-A	Turkmenistan	Parkhai Karakala		Wild					?	D003548			As	9	29	38.44	56.29	129.0616987	16123	1	no	NGS
AA149	N	LG760	206	7103	2.900183021	1.02773476	1	0.1262	36.55339806	18.68649083	62.34351682	16.57491046	POZ-BOZ-01	5th Millennium BC?	Neolithic	W	EUW-A	Poland	Bodzia		Wild			M		Arkadiusz Marciniak	POZ-BOZ-01	stan 1	ANC-Aside	Eu	12	30	52.71	18.89	0.00282911	47	0	no	PCR
AA154	N	LG767	498	97726	0.509588032	0.056279803	0	0.4096	21.98795181	11.41144962	70.69495324	9.579958642	POZ-BOZ-09	6111±35, Benecke 2006	Neolithic	Y	EUD-A	Poland	Bodzia		Domestic	Small Domestic				Arkadiusz Marciniak	POZ-BOZ-09	stan 1	ANC-Cside	Eu	4	31	52.71	18.89	0	0	0	POZ-BOZ-09	PCR
AA155	N	LG768	382	38666	0.987948068	0.235348885	2	0.2147	29.80628272	18.94152245	72.50949154	8.26083106	POZ-BOZ-11	?	Neolithic	Y	EUD-A	Poland	Bodzia		?	2 teeth->2 identification, lower M2 (Large Wild 100%), lower M3 (Large Domestic 68%)		M		Arkadiusz Marciniak	POZ-BOZ-11	stan 1		Eu	5	31	52.71	18.89	0.386986095	4983	1	POZ-BOZ-11	NGS
AA156	N	LG665	1532	239278	0.640259447	0.307174082	2	0.0437	44.45953003	18.94332175	59.14720534	13.95309824	BEO BB01-216-2	Mid 5th Millennium BC	Neolithic	W	BLW-A	Serbia	Vinca		Wild					Vesna Dimitrijevic	D002425 BEOBB01-216-2		ANC-Cside	Eu	6	31	44.78	20.61	0.006260158	104	0	no	PCR
AA157	N	LG666	31790	347069	9.159561931	5.556531986	111	0.0354	52.90248506	16.32954349	58.78336872	14.81959119	BEO BB03-216-2	Mid 5th Millennium BC	Neolithic	W	BLW-A	Serbia	Vinca		Wild	2 teeth-> Large Wild (70.1% and 99.67%)		M		Vesna Dimitrijevic	D002444 BEOBB03-216-2		ANC-Y2-5A	Y2	7	31	44.78	20.61	0.375188106	4918	2	BEOBB03-216-2	BOTH
AA158	N	LG667	1371	430892	0.318177177	0.095847683	4	0.0131	29.54923414	15.63935301	56.86956128	15.04350853	BEO 9-19-98-V	Mid 5th Millennium BC	Neolithic	W	EUW-A	Serbia	Vinca			Large Wild(100%)				Vesna Dimitrijevic	D002416 BEO9-19-98-V			Y2	8	31	44.78	20.61	2.433154758	13703	1	BEO9-19-98V	NGS
